ID,domain,keyword,keyword-model,cause,long_term_interval,long_term_effect,defeater_time_interval,defeater,supporter
6458,work,job openings,gpt3,Carter searches for job openings.,"Months later,",Carter has found new employment.,"Hours later,",Carter gives up his search.,Carter continues to search.
8204,Science/Technology,Nanotechnology,gpt3,A company decides to incorporate nanotechnology.,"Months later,",The company's productivity is much faster.,"Days later,","The many bugs in the nanotech control systems cause a fire and burn down the company headquarters, forcing them to go out of business.",The nanotech is flawless and does everything better than the human workers.
9553,Politics,citizen,chatgpt,"A naturalized citizen runs for a small, local office.","Decades later,",The citizen wins the race for governor of the state.,"Years later,",He's very lackadaisical and couldn't achieve success nor work hard,He's very skilled and works hard for success.
6776,sports,orienteering,gpt3,Jonathan made several friends while participating in orienteering,"Years later,",Jonathan and his friends habitually start camping in the wild,"Months later,",Jonathan stops talking to all of his friends and becomes a loner.,Jonathan and his friends decide to go on a camping trip to have a good time.
3312,health,healing,chatgpt,The wound started healing after taking the medicine the doctor gave him.,"Months later,",The wound was fully healed.,"Days later,","the wound was reopened in a fall, requiring further treatment.",A wound that has started to heal will heal completely.
13600,Politics,environmental policy,chatgpt,The ruling party lifts fossil fuel restrictions,"Years later,",Oil companies' profits soar,"Months later,",A solar-powered automobile becomes a best seller.,Oil is a fossil fuel and a profitable commodity.
1049,scitech,none,none,Most companies have started using robots.,"Years later,",Many people will be jobless and there will be so many social issues.,"Months later,",Robots are proven not as reliable as humans. The engineers decide that it may take decades for robots to be able to replace human workforce.,"If robots start doing people's work, it is likely that people will have to find another job"
9952,Travel,sailing,chatgpt,Tim went sailing to explore the world.,"Years later,","Tim's boat was found on a beach after Tim went missing,","Weeks later,",A fellow sailor saw Tim sailing and said he looked happy and competent.,Tim was not experienced with sailing.  He was also having mental health issues.
5464,work,rules,chatgpt,A new set of rules is laid out at a mans job,"Months later,",They're repealed as the workers protest it.,"Weeks later,",They workers are so pleased,The workers aren't happy
4544,politics,liberal-democrat,gpt3,"proper institutions and diplomacy , liberals belive that states can work together to maximize prosperity and minimize conflict.","Years later,","liberal democracy associated with higher human capital accumulation, lower inflation , lower political instability, and higher economic freedom.","Months later,",Conservatives oust the liberals.,Liberals are elected into office.
8651,Education,teacher training,gpt3,Jenna went to her high school's vocational school for teacher training.,"Years later,",She got a job at a daycare center.,"Months later,",He couldn't pass exam and isn't qualified,She' passed her exams and got qualified
4336,health,health education,gpt3,Jenny's health education class complained about her graphic descriptions of reproduction.,"Months later,",The principal moved Jenny out of health education.,"Seconds later,",Jenny apologizes and promises to tone down her descriptions of reproduction.,The graphic descriptions are not appropriate and disrupt the learning experience for other students.
5556,politics,lobbyist,chatgpt,The lobbyist makes ridiculous promises that he can't keep.,"Months later,",The lobbyist has lost a lot of credibility.,"Days later,",The lobbyist shows the voters with hard data that his promises are actually quite realistic.,The voters realize that the promises are just empty ones.
7380,health,epidemic,chatgpt,An epidemic takes over the world.,"Years later,",Millions of people have died.,"Weeks later,",The epidemic is over and no one has died.,The epidemic is a deadly disease.
4260,scitech,Data Storage,gpt3,Tom made a data storage devises to help store data,"Years later,",it was amount the best sold data storage devises,"Months later,",Nobody has bought his device because it does not work well.,If a device is made well it will be well received by consumers.
5502,politics,government,chatgpt,People are unhappy with the current government.,"Years later,",The current government gets overthrown by the people.,"Months later,",The people are solidly behind the government,power begun to protest
1405,business,none,none,Brandon stated a canteen inside the collage,"Months later,",He made a lot of money to pay for his education,"Weeks later,","A competitor canteen opened in the college, drawing more customers there.",The canteen was very successful.
8686,Education,learning styles,gpt3,the children is enrolled in nursery school,"Years later,",She gained more knowledge because their learning style is easy,"Months later,",Their teachers aren't experienced and hardworking,The teachers worked very hard to teach them
1513,education,none,none,Tom majors in business.,"Decades later,",Tom is the CEO of a Fortune 500 company.,"Hours later,",Tom doesn't do well in school.,Tom does well in school.
6511,politics,conservative,gpt3,the state is full with people that are conservative,"Years later,",The conservative candidate won the senate position in the state,"Months later,","to everyone's surprise, the state elected a pair of Libertarians to the state senate.",A state full of conservatives would probably elect conservative representatives.
5577,politics,filibuster,chatgpt,The political party is trustworthy,"Months later,",The politician won an election,"Weeks later,",A scandal occurs causing people to lose faith in the political party.,The campaign for the political party is winning over the people.
9937,Travel,travel journal,chatgpt,Jack started writing a travel journal.,"Decades later,",Jack is preparing to publish a book about his travels.,"Days later,",Jack gets bored of writing in the journal.,Jack keeps up his travel journal.
1991,sports,none,none,A player gets sent off during a match.,"Months later,",The team is struggling due to the indiscipline of the players.,"Minutes later,",The player returns to play the remainder of the game.,The player does not return to the match.
1904,business,none,none,A influential politician attacks a business for harming people.,"Months later,",The business has to answer questions in front of the politician.,"Days later,",The business dug dirt on the politician and the politician had to quickly resign from his post.,An influential politician has powers to hold businesses accountable for their harmful actions
7459,work,morals,chatgpt,A person lacking morals is promoted to CEO.,"Years later,",The CEO leaves the company after having embezzled large amounts of money.,"Days later,",Someone in the expense department realizes some odd charges from the CEO and calls him out for it.,No one realizes at the time of the promotion that the person lacks morals.
2388,health,health and nutrition,gpt3,jane stated eating fresh produced vegetables from the market,"Months later,",her health changed and stated to flourish,"Weeks later,",Jane went back to her old diet and her health returned to it's previous status.,Jane continued to eat fresh vegetables for many months.
8392,Health,fitness and nutrition,gpt3,Karl hired fitness and nutrition expert to help him train.,"Months later,",Karl's health started to vastly improve,"Days later,",Karl decided his commitment to a healthy diet and fitness was too hard and quit.,Karl worked hard to follow the expert's fitness and nutrition plan.
5003,environment,environmental justice movement global connections,chatgpt,The government engages in environmental protection,"Years later,",There's no environmental hazard,"Months later,",Money for environmental protection runs out.,"When the government passes policies to protect the environment, threats to the environment are reduced."
5390,health,global health,chatgpt,The population has blown up.,"Decades later,",Global health decreases.,"Years later,",An agricultural boon means there is enough healthy food for all.,People fight each other for access to food and water.
5488,work,materials,chatgpt,Julie lacks all of the materials to understand her work assignments properly.,"Months later,",Julia gets negative performance feedback.,"Weeks later,",She does not receive any help from his colleagues in this regard.,She tries to solve the problem with his own efforts.
2452,work,job vacancy,gpt3,She has found her routine for productive day at work.,"Years later,",She gets a chance for promotion because of her hardworking.,"Weeks later,",She becomes relaxed and lazy thinking all is well since she's gainfully employed,she engaged herself in training and hardworking to get better and finish all tasks
4108,business,accounting,gpt3,A small business experiences a large amount of growth within a short time period.,"Months later,",The company hires an accountant to organize their finances.,"Days later,","With the money mainly being cash, the owner decides to hide the earnings.",Lots of money coming in and out can be hard to track.
3504,politics,democracy,chatgpt,The nation decides to move from theocracy to democracy,"Years later,",The nation's policies strictly reflect their stance on the separation of religion and state,"Months later,",The people decide to elect clerics anyway to return to religious rule.,The nation's people agree with the separation of church and state.
8202,Science/Technology,Robotics,gpt3,Marianne is on the robotics team.,"Months later,",Marianne competes in the robotics championship with her team.,"Weeks later,",The team is eliminated before they reach the championship.,The team makes it to the championship.
8835,Entertainment,ballet,gpt3,Kwan performs ballet very well,"Years later,",Kwan becomes famous on ballet and opens a ballet school,"Weeks later,",He is injured while performing ballet and his ballet life ends.,Kwan continues to love ballet and works hard.
3301,health,health,chatgpt,John eats healthily and exercise regularly,"Decades later,",John remains healthy even at old age and helps to educate people on healthy lifestyles,"Months later,",John doesn't eat healthily and never exercised,John ensures he eats healthily and regularly exercise
9955,Travel,kitesurfing,chatgpt,There is a rise in kitesurfing.,"Months later,",More injuries are reported.,"Weeks later,",Everyone were safe because they're careful to achieve success,They were careless to keep people safe
7081,environment,sustainability,chatgpt,City dwellers start walking more.,"Years later,",Smog in the city decreases.,"Weeks later,","Because walking takes a long time, the use of vehicles increases again.",The number of cars in traffic and therefore carbon emissions are reduced.
931,entertainment,none,none,The director cast the notoriously difficult but talented star for his movie.,"Months later,",Production had to be stopped on the director's film because the star had an outburst.,"Days later,","The star has proven to be the most easy-going, easy to work with star the director has ever known.",Difficult but talented stars can be a problem for a director.
1971,work,none,none,"Jim got into a fight with his coworker, Dwight.","Months later,",Dwight sabotaged Jim's chances of promotion.,"Weeks later,",Jim apologized to Dwight and all hurt feelings were forgotten.,Dwight held a grudge against Jim.
2296,scitech,Satellite Technology,gpt3,the company produce a  satellite tech to help locate people,"Years later,",it was the best marketed software,"Months later,",They hired a marketing team with no experience.,Good marketing makes people aware of a product.
2770,sports,beach soccer,gpt3,Beach soccer becomes a popular sport across the world.,"Decades later,",Beach soccer is inducted into the Olympics.,"Years later,",People gradually turn their attention to other sports believing that beach soccer was a fun fad for the time in which it was played.,"Over time, an organization system is formed and rules around its play are formalized."
7930,travel,travel advisories,chatgpt,The tour group heeds the travel advisories during COVID.,"Months later,",They decide to just cancel the tour rather than risk COVID.,"Weeks later,",Scientists announce they've found a cure for COVID.,COVID rages on.
244,entertainment,none,none,John's band makes popular and artistically-revered albums for decades.,"Decades later,",John's band is inducted in the Rock and Roll Hall of Fame.,"Years later,",John's band starts to get less popular as his genre of music goes out of style.,John's band is continued to be well regarded and popular.
126,health,none,none,Darren began taking hair replacement supplements to try to regrow his hair.,"Months later,","Darren had a youthful, full head of hair.","Weeks later,",It is reported that the hair supplements are fraudulent and dont' work.,The hair replacement begins to work
4161,business,operations management,gpt3,The operations management division at the company had numerous shipping problems,"Months later,",The head of the operations division was fired after too many businesses cancelled their contracts.,"Weeks later,",The head of the operations division is able to fix the problems with shipping.,The shipping problems will not be resolved.
292,travel,none,none,A seaside travel destination is hit hard by a hurricane.,"Months later,",Tourism is at an all-time low.,"Hours later,",The destination is still withstanding the hurricane with minimal damage.,The hurricane destroys many buildings and other structures.
1267,business,none,none,The company president announces a plan to engage millennial consumers more.,"Months later,",The company hires a social media influencer to advertise its products.,"Weeks later,",The company hires an unknown person to advertise its products.,The company wanted to attract new customers.
7476,work,requirements,chatgpt,Larry did not meet the requested job requirements.,"Months later,","Larry was denied employment,","Days later,","Larry is hired anyway, due to lack of any other applicants.",Larry does not hear a call back.
9066,Environment,environmental science,chatgpt,John is studying environmental science,"Years later,",He graduated and works in environmental department,"Months later,",John flunks his final exam for environmental science.,John is interested in his coursework.
2827,entertainment,museums,gpt3,The museums in the city were shut down.,"Years later,",Tourism in the city had taken its toll.,"Months later,",New theaters and clubs were built to attract tourists.,Museums are popular tourism spots.
5659,education,management,chatgpt,The college began to offer management courses at night for adults looking to get promoted.,"Years later,",The management courses are the colleges most popular degree program.,"Weeks later,","A scandal breaks over the management course's instructor, and many students decide to drop the course.",People sign up for the management courses.
7527,politics,capitalism,chatgpt,"Though imperfect, free market capitalism has been an incredibly powerful force for good in the world","Months later,",The combination of liberal democracy and free market economics has lifted billions of people out of poverty and offered more hope to the hopeless than any other economic system in the world,"Days later,",People stop embracing capitalism.,People embrace capitalism.
2700,education,educational trends,gpt3,The country adopted a new system of education.,"Decades later,",The students graduated and became useful people in the society.,"Years later,",The new system does not seem to be producing good results and is stopped.,A well functioning education system can lead to positive outcomes for children and adults
289,environment,none,none,Several people hunt the same animal.,"Years later,",The animal is at risk of extinction.,"Months later,",Laws are put in place to prevent hunting of the animal.,More and more people also decide to hunt the animal.
3001,environment,renewable,chatgpt,The natural environment has a finite amount of resources.,"Decades later,",Humans have recognized the renewable practices can lengthen the time before resources are exhausted.,"Years later,",Humans still are wasting finite resources.,There are technologies that have not been discovered yet that could potentially make resources last longer.
9806,Entertainment,film,chatgpt,A new film is released that plays on peoples fears of the ocean,"Years later,",Effects of this movie still cause people to be biased against sealife,"Weeks later,",A campaign by scientists debunked the film's claims.,Media and entertainment can set people's views on things.
8448,Work,job security,gpt3,Greg was concerned about his job security after being written up by his boss,"Months later,",Greg was staying late at work to impress his boss,"Weeks later,",He's very lackadaisical amd unfocused,He's very hardworking and determined
7212,scitech,law,chatgpt,People have serious ethical concerns about current AI research.,"Years later,",A law is passed that puts limits on AI research.,"Hours later,",People decided their concerns weren't warranted.,People continued to have concerns.
1970,environment,none,none,The government lifts the ban on a chemical that can potentially damage the ozone layer,"Years later,",An increasing number of people report cases of skin cancer.,"Months later,",They reinstate the ban due to pressure from environmental groups.,Holes in the ozone layer can lead to skin cancer.
8828,Entertainment,galleries,gpt3,Belinda is a talented artist.,"Years later,",Her work gets accepted in several different galleries.,"Months later,",Belinda gives up art to go into nursing.,Belinda begins crafting artwork.
1130,work,none,none,Sandra is very punctual and diligent to work,"Years later,",Sandra got promoted for excellent performance,"Weeks later,",Sandra gets a better job offer and quits.,Her boss recognizes her outstanding efforts.
4234,scitech,Computational Biology,gpt3,Adam studies computational biology for his college major.,"Months later,",Adam goes to graduate school to get a PhD in computational biology.,"Weeks later,",Adam flunks his final exam in a key computational biology course.,A student's undergraduate major influences what they will study in grad school.
4495,work,career paths,gpt3,Marco's mentor helps him explore different career paths.,"Years later,",Marco has found his true calling.,"Weeks later,",Marco's mentor ends their relationship because Marco isn't taking it seriously.,Marco is motivated to find a career that suits him.
4421,work,operation,gpt3,Ken works in operation department,"Years later,",He becomes the head of operation department,"Months later,","Because he doesn't like his job, he neglects it.",He is very disciplined and works hard.
4146,business,mergers and acquisitions,gpt3,Cloud based technology has proven to be more efficient than current networking.,"Months later,",Corporations are merging with technology companies that already have cloud connectivity in place.,"Weeks later,",Corporations develop cloud based technology in-house.,It's more efficient to merge companies than create competing technology.
9022,Environment,acid rain,chatgpt,Pollution brought about by excessive industries caused acid rain,"Months later,",Lots of people suffer many skin diseases because of the acid rain,"Weeks later,","The problem came to a screeching halt when government  inspectors swooped on the industries, and, luckily only an inch or two or rain fell mostly in uninhabited areas in the middle of the night.",Large amounts of the acid rain fell during busy daytime hours when many people were outside.
1838,environment,none,none,The restaurant dumps its waste directly into a river,"Months later,",the restaurant is shutdown by the government for harming the environment.,"Days later,",The restaurant finds a place to properly dispose of their waste.,The government regulates waste dumping.
4115,business,services,gpt3,The company emphasizes the quality of its products and services.,"Years later,",The company has a loyal fan base of customers.,"Months later,",The company starts taking shortcuts to produce products and services more cheaply.,The company upholds the quality of its products and services.
8627,Education,degree program,gpt3,Sam go to degree program after completing his degree,"Years later,",it gave a good memory,"Months later,",He's not hardworking,He worked very hard to achieve success
5890,entertainment,extreme sports,chatgpt,The boy practiced dirtbiking because it was his favorite extreme sport.,"Months later,",He won a championship and got sponsored.,"Weeks later,",The boy had an accident dirt biking and was unable to practice any more.,Working hard and practicing at an activity can make you good at the activity.
3295,scitech,cosmology,chatgpt,A satellite is launched to find life on other planets,"Centuries later,",The satellite finds life on a distant planet,"Months later,",The satellite breaks before it can arrive at the other planet.,The satellite travels to the other plant.
9820,Entertainment,box office,chatgpt,The company produces the blockbuster of the year.,"Months later,",The movie has broken the box office record.,"Weeks later,",The movie leaves theaters after movie goers fail to go see it.,Good word-of-mouth causes people to see the film several times.
5515,politics,freedom,chatgpt,The politician informs voters that he will give them freedom.,"Months later,",The voters elect the politician into office.,"Weeks later,",A scandal causes the politician to step down from the race.,The politician is popular with the people.
5225,scitech,integration,chatgpt,A company buys another company that provides integration software services.,"Years later,",The first company becomes a leader in integration services.,"Months later,",The manager is inexperienced and that companies failed,The manager works  very hard
8316,Health,supplements,gpt3,Belinda takes too many health supplements.,"Decades later,",Belinda's kidney and liver suffer and fail.,"Weeks later,",Belinda stops taking health supplements after reading about their negative effects.,Taking too many health supplements causes damage to the kidneys and liver.
1275,work,none,none,Jeff put in long hours at his job to impress his bosses,"Months later,",Jeff received a promotion,"Weeks later,","Jeff gets really mad and quits when someone else, who is lazy, is promoted ahead of him.","When someone works long hours, their bosses appreciate this effort and reward them."
1635,politics,none,none,A new bill is thought up in a committee.,"Months later,",The bill is passed through congress and becomes law.,"Weeks later,",The bill is unpopular with lawmakers.,The bill gets support from lawmakers.
7136,business,advertising,chatgpt,Mark launches a new advertising campaign for his product.,"Months later,",Revenues are way up for the product.,"Days later,",People mock Mark's new advertising campaign on social media.,The new advertising campaign will be successful.
7252,scitech,artificial intelligence,chatgpt,The scientists study scientific intelligence.,"Years later,",They release a robot into the world.,"Weeks later,",The scientists stop studying.,The scientists continue to study.
5799,sports,focus,chatgpt,Ken plays sport and he earns his living from it,"Years later,",He played for one of the greatest clubs,"Weeks later,",Ken is injured and becomes a bench warmer.,People who play sports professionally may play for great clubs.
4499,work,career objectives statement,gpt3,Adam writes a career objectives statement with his mentor at work.,"Months later,",Adam feels that his career goals are crystal clear.,"Weeks later,",Adam quits his job.,A career objective statement is necessary to succeed at work
2218,scitech,Digital Transformation,gpt3,The society undergoes a digital transformation.,"Months later,",People of all ages are glued to their phones and computers all day.,"Weeks later,",The government limits usage of digital gadgets.,Digital transformation is good but can be addictive.
6306,health,physical health,gpt3,A physical health exam turns up terribly for a woman,"Years later,",She dedicates herself to becoming healthier,"Weeks later,",she is very healthy and does not need to do anything,she is very unhealthy and must take steps now to become healthy
7307,health,symptom,chatgpt,Simon began having health problems around the time he turned 50.,"Months later,","when he had his first visit with the doctor, the first thing he was asked was to describe his symptoms.","Weeks later,",He gets better,He couldn't maintain a healthy lifestyles
4286,scitech,Human-Computer Interaction,gpt3,Ken is an engineer and he chose area of specialization,"Years later,",He becomes a specialist in human computer interactions,"Months later,",Ken struggled in his career and decided to go back to school for something else.,Ken worked hard to become knowledgeable at his area of expertise.
2123,business,advertising,gpt3,Head sees a billboard for advertising open on the highway.,"Months later,",Ted sees an increase in sales after getting the billboard,"Hours later,",Ted rents a cheaper billboard on a less traveled road instead.,"A billboard is a great marketing tool, because it gets your product information in front of a lot of people."
8990,Travel,flight discounts,gpt3,The company gave out flight discounts.,"Years later,",Most customers developed great likings towards the company.,"Months later,",The company roll out a new rule that is discriminatory to minorities,One way to win over customers is to give promotions to the customers
6217,scitech,Cybersecurity,gpt3,The company's cybersecurity division laid off half its staff.,"Months later,",The company experienced a cyber attack and had all of its internal documents stolen.,"Weeks later,",the staffs couldn't deliver their roles,The staff were careless
268,environment,none,none,A factory releases waste in to a stream.,"Years later,",The wildlife population has a sharp decline in fertility.,"Weeks later,",The EPA and environmental groups sue the company to stop poluting the streams.,The company is able to release the waste into the stream for a long period of time.
3386,health,disinfection,chatgpt,A hospital decided to use less disinfection chemicals to save money.,"Months later,",The hospital is sued when a patient dies from an infection caused my improper disinfecting procedures.,"Weeks later,",The hospital found a cheaper source for its disinfectant.,The hospital no longer followed standard safety code for sanitation.
1298,education,none,none,The tuition of the school went up by 25 percent.,"Months later,",The number of students that were enrolled declined.,"Weeks later,",The investment in supplies is worth it and new students are attracted to the school.,Students end up enrolling in cheaper schools.
8856,Entertainment,video game reviews,gpt3,The first video game released by Mega Corporation gets universally bad reviews from both the general public as well as professional critics.,"Months later,",Mega Corporation closes its video game division in response to poor sales.,"Weeks later,",They have lots done success and work hard for more,They couldn't work hard and they had negative impacts
6805,entertainment,theater,gpt3,David excels in creative writing in school,"Years later,",David becomes a playwright for theaters,"Months later,",His dad makes him study business instead.,Creative writing is used for works of fiction.
863,sports,none,none,The star quarterback of a football team got injured at the beginning of the season.,"Months later,",The team failed to advance to the playoffs.,"Days later,",The team signs a new player just as good as the injured.,The team loses its first game due to the missing player.
9907,Travel,exploration,chatgpt,NASA investigates the possibility of space exploration.,"Centuries later,",Colonies of humans live on Mars.,"Weeks later,",NASA is shut down due to wars,NASA starts exploring Mars
2696,education,student behavior,gpt3,"Sandra is known to be troublesome in her school, she also engages in bad behaviors like taking what isn't hers","Months later,",Sandra was given 3 weeks suspension because she negatively influenced other students behaviors,"Days later,",Sandra changes her behavior and decided to be a good girl.,Sandra influenced other students to steal.
8067,Environment,sustainable energy,gpt3,The nation wanted to expand its sustainable energy policies,"Months later,",The nation announced it would add solar panels to all roofs,"Weeks later,",Several cloudy days dampened the nation’s spirits as they looked forward to green energy.,"The nation did not have alot of room for windmills, but had plenty of roof space to utilize.  Solar panels were affordable."
380,health,none,none,Caroline gets into a serious car accident and shatters her left leg.,"Years later,",Caroline still has a limp in her left leg.,"Weeks later,",Caroline is given a bionic leg which works as well as a real leg.,Caroline receives poor health care.
8925,Travel,road trip,gpt3,Gas prices have gone up,"Months later,",Fewer people are going on vacations during the summer,"Weeks later,",The government sends a vacation stimulus check to every American,People cannot afford to travel
9456,Work,ethics,chatgpt,Sandra has good working ethics,"Months later,",She has the best work evaluation of the year,"Weeks later,",Sandra is caught up in a messy scandal.,Sandra gets evaluated by her boss.
6759,sports,motor sports,gpt3,Susan's son asks to go to see the local Motorsports event.,"Years later,",They are now lifelong fans and visit frequently.,"Minutes later,",Susan realizes the tickets are all already sold out.,Susan searches for tickets to the Motorsports event.
6151,business,consultancy,gpt3,The Whitehall firm offered consultancy services in a field that was increasingly in-demand.,"Years later,",the thriving company had opened several new branches to accommodate new business.,"Weeks later,",They offer low quality services,They offer high quality services which attracts people
9149,Business,demand,chatgpt,A company's products are in high demand.,"Months later,",The company's sales increase.,"Weeks later,",The company is unable to keep up with demand and their sales halt.,The makes more products.
9697,Education,theater,chatgpt,Sandra wants to be an actress,"Years later,",She studied theatre art,"Months later,",She's very lackadaisical and couldn't achieve success,She's determined and hardworking
2765,sports,extreme sports,gpt3,Sue was injured while taking part in mountain climbing.,"Years later,",Sue still remembers the trauma she faced from her injury and has never taken part in mountain climbing again.,"Months later,",Sue took a training course to improve her technique while mountain climbing.,Mountain Climbing can be very dangerous without proper equipment and safety measures.
7585,politics,radicalism,chatgpt,The politician advocates for radicalism.,"Months later,",The politician has no followers left.,"Hours later,",The politician is no longer an advocate.,The politician continues to be an advocate.
9847,Entertainment,video,chatgpt,team members are planning to a trip,"Months later,",all are taking photos and videos for the evergreens memories,"Weeks later,","Due to funding cuts, the trip was canceled.",They’re looking for locations where they can focus on photography.
8005,Environment,pollution,gpt3,A manufacturer dumps chemicals into the lake.,"Months later,",There are no fish left in the lake.,"Days later,",They are found out and made to clean the lake immediately.,Chemicals kill fish.
5998,travel,ferry,chatgpt,The two cities were separated by the river.,"Years later,",A ferry was built to connect the two cities.,"Months later,",The city built huge highways connecting the cities.,People wanted to cross the river by ferry.
3902,travel,vacation,chatgpt,Hillary goes on vacation to London and has a fantastic experience there.,"Years later,",Hillary decides to go back to London for a vacation.,"Months later,",Hillary loses her job and goes bankrupt and turns to drug use.,If someone has a good time on a vacation they will want to return to that place.
5524,politics,political ideology,chatgpt,Rob wants to be a politician,"Months later,",He downloaded his party's ideology and got familiar with it,"Days later,",He decides he's nut cut out for politics and wants to be a doctor instead.,He has an interest in learning about politics.
2095,environment,green infrastructure,gpt3,Some socialists are planting trees.,"Decades later,",These trees providing many fruits.,"Days later,",The trees don't grow.,The trees survive.
7986,travel,couples travel,chatgpt,The woman and man had just gotten married.,"Months later,",They were able to take a honeymoon.,"Weeks later,","However, they got divorced shortly thereafter.",They decided to save their money and go on a trip a little later.
1302,sports,none,none,Drew practices every day hitting baseballs.,"Years later,",Drew hits home runs for a professional baseball team.,"Months later,",Drew gives up baseball after he still isn't getting better.,Drew continues to improve enough to become a professional baseball player.
9154,Business,investment,chatgpt,Belinda took a finance class to study the art of investing.,"Years later,",She had a thriving stock portfolio.,"Months later,",She becomes lackadaisical and couldn't complete her education,She's hardworking and achieve success
984,health,none,none,A new microbe is developed that can eat cancer cells.,"Decades later,",Certain types of cancer have been virtually eradicated.,"Weeks later,",The microbe proves ineffective longterm and the cancer cells return.,The microbe is tested in lab settings and found to work.
4854,entertainment,tv reviews,gpt3,The show received a lot of bad tv reviews.,"Months later,",It is not renewed for another season.,"Weeks later,",The producers was happy and decided to continue with production.,due to the massive numbers of negative reviews the producers see no reason to continue
449,education,none,none,Julia decides to stay out late partying the night before a big math exam.,"Months later,",Julia has to go to summer school because the exam brought down her grade for the class.,"Hours later,",Julia makes educated guesses and passes the test.,Julia is too tired to do well on the exam.
3626,education,credential,chatgpt,A recent college graduate receives their teaching credentials.,"Months later,",The graduate starts their first job as a teacher in an elementary school.,"Weeks later,",The students couldn't work hard and failed their exams,The students worked so hard and passed their exams
4159,business,legal issues,gpt3,The company is sued for failing to pay taxes,"Months later,",The company pays fines imposed by the court,"Weeks later,",The company won the case and was compensated.,The company lost the case and was fined.
