ID,cause,assumption,ID_old,domain,keyword,long_term_interval,defeater,defeater_time_interval,long_term_effect
11780-3,Michael feels an adrenaline rush when he runs.,Michael is good at running.,11780,Sports,adrenaline,"Months later,",Michael twists his ankle.,"Days later,",Michael wins the league cross country meet.
119-1,A new beach has been opened.,A lot of people flock to the beach.,119,travel,none,"Months later,",People are disappointed by how rocky the sand is.,"Days later,",The beach is very popular among families.
119-2,A new beach has been opened.,The beach is kept up nicely.,119,travel,none,"Months later,",Trash and litter are all over the beach.,"Weeks later,",The beach is very popular among families.
119-3,A new beach has been opened.,The beach has been long awaited by the community.,119,travel,none,"Months later,",The beach is trashed by teenagers and has to be shut down.,"Weeks later,",The beach is very popular among families.
11920-1,The first space flight ends in an explosion.,The space agency wants to fix the issue that caused the explosion.,11920,Travel,flight,"Months later,",They're stumped as to how to fix this issue.,"Weeks later,",The space agency is ready to try again after fixing problems.
11920-2,The first space flight ends in an explosion.,The space agency finds the root cause of the explosion and comes up a viable solution.,11920,Travel,flight,"Months later,",The space agency discovers that the whole architecture is wrong and has to abort the project.,"Weeks later,",The space agency is ready to try again after fixing problems.
11920-3,The first space flight ends in an explosion.,One accident will not be enough to discourage the space agency from trying again.,11920,Travel,flight,"Months later,",The space agency looses its funding and all future space flights are canceled.,"Weeks later,",The space agency is ready to try again after fixing problems.
1193-1,Don trained hard and tried out for the football team.,He stayed fit and healthy.,1193,sports,none,"Months later,",He tore his ACL.,"Hours later,",Tom made the team cut.
1193-2,Don trained hard and tried out for the football team.,Training hard helps an athlete (or someone with a similar name) make the team.,1193,sports,none,"Months later,",Tom told Don it wasn't worth the effort to train so hard.,"Hours later,",Tom made the team cut.
1193-3,Don trained hard and tried out for the football team.,He impressed the coach.,1193,sports,none,"Months later,",He got into a loud argument with the coach.,"Minutes later,",Tom made the team cut.
12100-1,It was unusually dry in the area.,Lawmakers wanted to do something about that.,12100,Environment,water conservation,"Months later,",Lawmakers decided they had higher priority items to focus on.,"Hours later,",A law was enacted to make people conserve water.
12100-2,It was unusually dry in the area.,The government was concerned about this drought.,12100,Environment,water conservation,"Months later,",The area gets tons of rain.,"Hours later,",A law was enacted to make people conserve water.
12100-3,It was unusually dry in the area.,The government wanted to make sure that water would be conserved.,12100,Environment,water conservation,"Months later,",It started raining in the area and would not stop raining.,"Days later,",A law was enacted to make people conserve water.
12220-1,the state is now 5G certified,The 5G works very smoothly.,12220,Science/Technology,5G,"Months later,",The 5G has a lot of glitches.,"Hours later,",people are now downloading hundred of gigabyte in seconds
12220-2,the state is now 5G certified,A lot of people have 5G phones.,12220,Science/Technology,5G,"Months later,",A lot of people stop using 5G phones out of COVID fears.,"Weeks later,",people are now downloading hundred of gigabyte in seconds
12220-3,the state is now 5G certified,5G technology increases downloading speeds.,12220,Science/Technology,5G,"Months later,",A number of 5G towers are attacked and destroyed by conspiracy theorists.,"Days later,",people are now downloading hundred of gigabyte in seconds
1229-1,The college coach thinks the football player would be better as a safety than a receiver because he can't catch.,The coach wants to draft the football player.,1229,sports,none,"Years later,",The football player starts performing really badly and the coach is no longer interested.,"Weeks later,",The player is drafted into the nfl as a safety.
1229-2,The college coach thinks the football player would be better as a safety than a receiver because he can't catch.,The player excels at the safety position.,1229,sports,none,"Years later,",The player can’t adjust to his new position and quits the team.,"Months later,",The player is drafted into the nfl as a safety.
1229-3,The college coach thinks the football player would be better as a safety than a receiver because he can't catch.,The player excels as a safety.,1229,sports,none,"Years later,","The player is so upset at the change, he quits football to play soccer.","Days later,",The player is drafted into the nfl as a safety.
12300-1,3d imaging is offered to prospective parents when getting an ultrasound.,A lot of parents find 3D imaging to be helpful to see the baby.,12300,Science/Technology,3D Imaging,"Months later,",The parents are told 3D imaging uses radioactive technology and that it's okay to opt out.,"Minutes later,","When the baby is born, the parents feel like they already know him or her."
12300-2,3d imaging is offered to prospective parents when getting an ultrasound.,More parents use the ultrasound.,12300,Science/Technology,3D Imaging,"Months later,",Parents don’t use the ultrasound because they don’t want to know the sex of the baby.,"Weeks later,","When the baby is born, the parents feel like they already know him or her."
12300-3,3d imaging is offered to prospective parents when getting an ultrasound.,3d pre-natal imaging guves parents a clearer view of their child-to-be.,12300,Science/Technology,3D Imaging,"Months later,","The parents decline to see the 3d imaging, feeling that it doesn't tell them anything they need to know.","Minutes later,","When the baby is born, the parents feel like they already know him or her."
1242-1,A volcanic eruption occurs near a city,A volcanic eruption destroys housing and infrastructure.,1242,environment,none,"Months later,",The lava flow never reaches the populated parts of the city.,"Weeks later,",Homelessness and poor infrastucture hit the city.
1242-2,A volcanic eruption occurs near a city,The city is not prepared for the volcano at all.,1242,environment,none,"Months later,",An outpouring of aid and volunteers comes to help rebuild the city.,"Hours later,",Homelessness and poor infrastucture hit the city.
1242-3,A volcanic eruption occurs near a city,No one steps up to help out.,1242,environment,none,"Months later,",Volunteer crews flood the city.,"Minutes later,",Homelessness and poor infrastucture hit the city.
1244-1,John decides to take his Spanish lessons seriously in school,John always does his Spanish homework.,1244,education,none,"Years later,",John gets bored of homework and gives up.,"Hours later,",John can speak Spanish fluently
1244-2,John decides to take his Spanish lessons seriously in school,John is motivated to keep up with Spanish homework.,1244,education,none,"Years later,",John keeps getting lazy about his Spanish homework.,"Months later,",John can speak Spanish fluently
1244-3,John decides to take his Spanish lessons seriously in school,One can become fluent in a language by taking school lessons seriously.,1244,education,none,"Years later,",John's Spanish is still terrible because the Spanish lessons he's been taking are ineffective.,"Months later,",John can speak Spanish fluently
1245-1,There was a new viral epidemic.,People were interested in studying its roots.,1245,health,none,"Decades later,",People lost interest in studying the epidemic.,"Years later,",It was studied in school.
1245-2,There was a new viral epidemic.,A lot of people were curious about it.,1245,health,none,"Decades later,",A lot of people lost interest in it.,"Weeks later,",It was studied in school.
1245-3,There was a new viral epidemic.,A viral epidemic is a major event in history and will eventually be studied by students.,1245,health,none,"Decades later,",Anti-science politicians manage to rewrite history and no one remembers the viral epidemic.,"Years later,",It was studied in school.
12680-1,The local school district invests in curriculum development.,The school is recognized for their curriculum.,12680,Education,curriculum development,"Years later,",Students don’t adopt to the new curriculum.,"Months later,",The school district is known for offering students specialized learning paths.
12680-2,The local school district invests in curriculum development.,Students receive curriculum that is tailored to their needs.,12680,Education,curriculum development,"Years later,",The school district scraps this due to the expense.,"Weeks later,",The school district is known for offering students specialized learning paths.
12680-3,The local school district invests in curriculum development.,Investing in curriculum development will result in improvements to the curriculum.,12680,Education,curriculum development,"Years later,",All the people hired to develop the curriculum do is change the textbooks to a different publisher and introduce new standardized tests.,"Weeks later,",The school district is known for offering students specialized learning paths.
1270-1,An actor signs onto a popular franchise.,The actor does a good job with the franchise.,1270,entertainment,none,"Years later,",The actor gets into a huge argument with the franchise's director and is dismissed.,"Weeks later,",The actor is starring in another franchise sequel.
1270-2,An actor signs onto a popular franchise.,The first movie in the franchise is incredibly successful.,1270,entertainment,none,"Years later,",The first movie is a complete failure and the studio decides to scrap plans for a sequel.,"Months later,",The actor is starring in another franchise sequel.
1270-3,An actor signs onto a popular franchise.,Franchise movies typically use the same actors for sequels.,1270,entertainment,none,"Years later,",He sees that the script kills his character off in the first film.,"Weeks later,",The actor is starring in another franchise sequel.
1271-1,Mike decides to major in history in college,Mike discovers his passion in teaching history.,1271,education,none,"Years later,",Mike changes to major in finance so he can make more money in the future.,"Months later,",Mike gets a job as a history teacher after his graduation
1271-2,Mike decides to major in history in college,Mike enjoys his history studies.,1271,education,none,"Years later,",Mike gets really bored of his history studies.,"Months later,",Mike gets a job as a history teacher after his graduation
1271-3,Mike decides to major in history in college,Studying hard in college can lead to better careers.,1271,education,none,"Years later,",Mike decides that he doesn't like history and drops out of college.,"Months later,",Mike gets a job as a history teacher after his graduation
1281-1,A fire destroys a field.,Residences return to the field and rebuild their homes.,1281,environment,none,"Decades later,",People keep leaving and look for better places to live.,"Months later,",The field finally returns to it's pre fire state.
1281-2,A fire destroys a field.,The field grows back.,1281,environment,none,"Decades later,",A hurricane devastates the field again.,"Months later,",The field finally returns to it's pre fire state.
1281-3,A fire destroys a field.,Natural habitats will return to normal given enough time.,1281,environment,none,"Decades later,",The town decides to build a parking lot over the field.,"Months later,",The field finally returns to it's pre fire state.
1284-1,Our boss gave us over time to finish the project,The project delivered the product that customers desired.,1284,work,none,"Months later,",The project delivered the product that customers complained a lot.,"Days later,",the project got a very big sell
1284-2,Our boss gave us over time to finish the project,The project was completed on time.,1284,work,none,"Months later,",We were unable to complete the project in time.,"Weeks later,",the project got a very big sell
1284-3,Our boss gave us over time to finish the project,The team works hard on the project.,1284,work,none,"Months later,",The project doesn’t get completed on time.,"Days later,",the project got a very big sell
1286-1,Lisa was overly drunk at an office party.,Human resource staff was present at the office party.,1286,work,none,"Months later,",Human resource did not have the evidence to prove Lisa was overly drunk at the office party.,"Days later,",Lisa received a formal reprimand from HR about inappropriate workplace behaviors.
1286-2,Lisa was overly drunk at an office party.,Lisa embarrassed her boss at the party.,1286,work,none,"Months later,",Lisas coworker takes her home before she embarrasses herself at the party.,"Minutes later,",Lisa received a formal reprimand from HR about inappropriate workplace behaviors.
1286-3,Lisa was overly drunk at an office party.,Being drunk at office parties is not acceptable behavior.,1286,work,none,"Months later,",Everyone is talking about how Lisa was the life of the party.,"Days later,",Lisa received a formal reprimand from HR about inappropriate workplace behaviors.
1293-1,The NBA schedule is released to the public.,People like Steph Curry and want to see him play.,1293,sports,none,"Months later,",Steph Curry is involved in a scandal and no one wants to see him play anymore.,"Hours later,",Fans line up to see Steph Curry and the Warriors in their hometown.
1293-2,The NBA schedule is released to the public.,The Warriors are the most popular team.,1293,sports,none,"Months later,",Steph Curry sustains a season ending injury.,"Days later,",Fans line up to see Steph Curry and the Warriors in their hometown.
1293-3,The NBA schedule is released to the public.,People are excited to see when Steph Curry and the Warriors are playing.,1293,sports,none,"Months later,",Steph Curry goes down with a season ending injury.,"Weeks later,",Fans line up to see Steph Curry and the Warriors in their hometown.
1296-1,A team decides to fire its hard working coach.,No one applies to be the new coach.,1296,sports,none,"Months later,",A competent new coach requests to be considered for the job.,"Weeks later,",The team is still trying to replace the coach.
1296-2,A team decides to fire its hard working coach.,The coach will be difficult to replace.,1296,sports,none,"Months later,",The team has replaced the coach with a better one.,"Hours later,",The team is still trying to replace the coach.
1296-3,A team decides to fire its hard working coach.,The team can't find another coach.,1296,sports,none,"Months later,",An excellent coaching candidate applies with a lot of interest.,"Days later,",The team is still trying to replace the coach.
1300-1,Sandy hugged every single one of her colleagues each morning.,HR warned her to stop hugging people.,1300,work,none,"Months later,",Sandy stopped hugging people for good.,"Minutes later,",Sandy was fired after ignoring repeated warnings from HR to stop hugging people.
1300-2,Sandy hugged every single one of her colleagues each morning.,Hugging people is against HR's policies.,1300,work,none,"Months later,",Everyone looks forward to seeing Sandy in the morning.,"Weeks later,",Sandy was fired after ignoring repeated warnings from HR to stop hugging people.
1300-3,Sandy hugged every single one of her colleagues each morning.,Sandy persisted in her behavior despite negative feedback from her co-workers.,1300,work,none,"Months later,",Sandy's colleagues are not bothered by her friendliness.,"Weeks later,",Sandy was fired after ignoring repeated warnings from HR to stop hugging people.
1310-1,The USA team makes a surprise run in the World Cup to the semi-final.,"If a team goes to the world cup semi finals, they get a lot of support.",1310,sports,none,"Decades later,",People still are not interested in the sport.,"Weeks later,",Soccer in the USA is developed and they have one of the best teams in the world.
1310-2,The USA team makes a surprise run in the World Cup to the semi-final.,"The USA wins the semi-final, and the nation become enthralled in the team's run, watching the final in record numbers, especially among children.",1310,sports,none,"Decades later,",The USA team is blown out in the semi-final and embarrassed.,"Hours later,",Soccer in the USA is developed and they have one of the best teams in the world.
1310-3,The USA team makes a surprise run in the World Cup to the semi-final.,The USA team continues to dominate after that surprise run.,1310,sports,none,"Decades later,",The USA team is hit by a long string of losing streaks.,"Years later,",Soccer in the USA is developed and they have one of the best teams in the world.
